Year,E&W,UK Total,After False,True Scale Female,True Scale Male,Cumulative Reported,Cumulative True Scale,Charged (Reported),NOT Charged (Reported),NOT Charged (True Scale)
2002,12295,13795,78632,71555,7077,13795,78632,290,13505,78342
2003,12500,14025,79943,72748,7195,27820,158575,295,13730,79648
2004,13000,14586,83140,75657,7483,42406,241715,306,14280,82834
2005,13500,15147,86338,78568,7770,57553,328053,318,14829,86020
2006,14000,15708,89536,81478,8058,73261,417589,330,15378,89206
2007,14500,16269,92733,84387,8346,89530,510322,342,15927,92391
2008,15000,16830,95931,87297,8634,106360,606253,353,16477,95578
2009,15200,17054,97208,88459,8749,123414,703461,358,16696,96850
2010,15500,17391,99129,90207,8922,140805,802590,365,17026,98764
2011,15800,17728,101050,91956,9095,158533,903640,372,17356,100678
2012,16000,17952,102326,93117,9209,176485,1005966,377,17575,101949
2013,16038,17995,102572,93341,9231,194480,1108538,378,17617,102194
2014,22000,24684,140699,128036,12663,219164,1249237,518,24166,140181
2015,29000,32538,185467,168775,16692,251702,1434704,683,31855,184784
2016,35000,39270,223839,203693,20146,290972,1658543,825,38445,223014
2017,41000,46002,262211,238612,23599,336974,1920754,966,45036,261245
2018,54000,60588,345352,314270,31082,397562,2266106,1272,59316,344080
2019,58000,65076,370933,337549,33384,462638,2637039,1367,63709,369566
2020,52000,58344,332561,302631,29930,520982,2969600,1225,57119,331336
2021,69973,78488,447382,407118,40264,599470,3416982,1648,76840,445734
2022,68949,77340,440838,401163,39675,676810,3857820,1624,75716,439214
2023,67928,76195,434312,395224,39088,753005,4292132,1600,74595,432712
2024,70305,78882,449627,409161,40466,831887,4741759,1657,77225,447970
2025,72766,81643,465365,423482,41883,913530,5207124,1715,79928,463650
2026,75313,84501,481656,438307,43349,998031,5688780,1775,82726,479881
2027,77949,87459,498516,453650,44866,1085490,6187296,1837,85622,496679
2028,80677,90520,515964,469527,46437,1176010,6703260,1901,88619,514063
2029,83501,93688,534022,485960,48062,1269698,7237282,1967,91721,532055